,year,month,highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,lowest,inferred
162,1916,1,0.273,,-0.178,-0.337,-0.343,-0.504,,,,0.326,,,11.720,6.020,-1.007,0
163,1916,2,0.242,,-0.267,-0.434,-0.437,-0.608,,,,0.341,,,11.830,5.980,-1.404,0
164,1916,3,0.334,,-0.200,-0.361,-0.367,-0.538,,,,0.338,,,11.960,5.690,-1.251,0
165,1916,4,0.425,,-0.050,-0.221,-0.224,-0.398,,,,0.347,,,11.550,5.880,-1.099,0
166,1916,5,0.364,,-0.053,-0.221,-0.221,-0.392,,,,0.338,,,11.730,5.930,-0.794,0
167,1916,6,0.608,,0.069,-0.090,-0.105,-0.276,,,,0.344,,,11.780,5.920,-0.672,0
168,1916,7,0.425,,0.041,-0.120,-0.126,-0.294,,,,0.335,,,11.830,5.980,-0.581,0
169,1916,8,0.395,,0.053,-0.120,-0.123,-0.300,,,,0.354,,,11.700,5.860,-0.642,0
170,1916,9,0.303,,0.026,-0.142,-0.145,-0.315,,,,0.341,,,11.690,6.000,-1.007,0
171,1916,10,0.578,,-0.014,-0.172,-0.175,-0.337,,,,0.323,,,11.660,5.750,-1.007,0
172,1916,11,0.242,,-0.096,-0.251,-0.254,-0.413,,,,0.317,,,11.670,5.810,-0.946,0
173,1916,12,0.120,,-0.227,-0.376,-0.386,-0.544,,,,0.317,,,11.700,5.970,-0.977,0
174,1917,1,0.273,,-0.197,-0.358,-0.361,-0.526,,,,0.329,,,11.640,5.850,-1.007,0
175,1917,2,0.120,,-0.264,-0.431,-0.434,-0.608,,,,0.344,,,11.550,5.820,-1.434,0
176,1917,3,0.303,,-0.111,-0.261,-0.270,-0.431,,,,0.320,,,11.710,5.850,-1.099,0
177,1917,4,0.639,,-0.117,-0.279,-0.282,-0.446,,,,0.329,,,11.770,5.960,-0.946,0
178,1917,5,0.303,,-0.011,-0.175,-0.184,-0.355,,,,0.344,,,11.620,5.900,-0.824,0
179,1917,6,0.303,,-0.005,-0.172,-0.175,-0.346,,,,0.341,,,11.740,6.160,-0.672,0
180,1917,7,0.273,,0.035,-0.133,-0.142,-0.315,,,,0.351,,,11.840,6.000,-0.672,0
181,1917,8,0.273,,0.050,-0.120,-0.123,-0.294,,,,0.344,,,11.740,5.940,-0.611,0
182,1917,9,0.334,,0.023,-0.148,-0.148,-0.322,,,,0.344,,,11.650,5.890,-0.703,0
183,1917,10,0.639,,-0.017,-0.178,-0.184,-0.349,,,,0.332,,,11.860,6.000,-0.885,0
184,1917,11,0.242,,-0.129,-0.279,-0.285,-0.440,,,,0.311,,,11.800,6.020,-0.885,0
185,1917,12,0.547,,-0.206,-0.370,-0.373,-0.541,,,,0.335,,,11.740,5.860,-1.251,0
186,1918,1,0.456,,-0.172,-0.322,-0.331,-0.486,,,,0.314,,,11.700,5.820,-0.855,0
