GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,perc_area_flood,N_perc_area_flood
G24000504401004,504,144150,1376.073413,79.66666667,1.604166667,1.496031746,0.161454145,0.544823266,0.741187671,0.194797813,21091.01524,0,0
G24000504402001,297,149500,1456.296296,85.81144781,1.735690236,1.579124579,0.183909654,0.507226089,0.678379415,0.228097377,27675.61278,0,0
G24000504402002,593,145000,1444.860034,59.31871838,1.639966273,1.718381113,0.180708484,0.669323292,0.724091793,0.28390462,-11583.4778,0,0
G24000504403001,720,151000,1309.916667,37.20555556,1.91875,1.547222222,0.142935945,0.804623879,0.590960371,0.215312465,15681.01611,0.005720896,0.009032381
G24000504404001,549,121000,1468.726776,80.09836066,1.901639344,1.566484517,0.18738912,0.542181923,0.599131458,0.223031856,4593.34769,0,0
G24000504404002,569,126000,1356.432337,69.05448155,1.516695958,1.548330404,0.155956333,0.609754497,0.78295876,0.21575657,-12549.97963,0,0
G24000504404003,881,117000,1196.421112,63.14642452,1.524971623,1.360953462,0.111166948,0.645903264,0.779006768,0.140665009,-929.1415701,0.019794119,0.031251751
G24000504404004,521,117900,1222.998081,87.378119,1.532629559,1.533589251,0.118606214,0.497640326,0.775349769,0.209849034,6890.676731,0,0
G24000504405001,1037,145000,1402.430087,61.19672131,1.770973963,1.486981678,0.168831747,0.657832629,0.661529892,0.191170986,15849.84546,0.013610058,0.021488107
G24000504405002,381,139900,1306.414698,76.71128609,1.761154856,1.393700787,0.141955695,0.562905923,0.666218945,0.153788544,36248.56673,0,0
G24000504406001,1055,251817,2200.722275,28.05687204,1.882464455,2.113744076,0.392284918,0.860600596,0.608288306,0.442346859,-1694.426408,0.240255038,0.379324318
